_id	album	year	name	composer	duration	geo
1	Greetings from Asbury Park NJ	1973	Blinded by the Light	Bruce Springsteen	304	[42.3770029,-71.1166601],[-6.1659168,38.082014]
2	Greetings from Asbury Park NJ	1973	Growin' Up	Bruce Springsteen	160	
3	Greetings from Asbury Park NJ	1973	Mary Queen of Arkansas	Bruce Springsteen	268	[34.7312519,-94.3804056],[23.2923822,-111.6687445]
4	Greetings from Asbury Park NJ	1973	Does This Bus Stop at 82nd Street?	Bruce Springsteen	123	[40.7802012,-73.9740479],[25.6643566,-81.3660703]
5	Greetings from Asbury Park NJ	1973	Lost in the Flood	Bruce Springsteen	317	[40.8156637,-73.9656411]
6	Greetings from Asbury Park NJ	1973	The Angel	Bruce Springsteen	204	[40.7773054,-73.9635946]
7	Greetings from Asbury Park NJ	1973	For You	Bruce Springsteen	280	[40.739076,-73.9776112],[40.747198,-74.0071035]
8	Greetings from Asbury Park NJ	1973	Spirit in the Night	Bruce Springsteen	383	[40.0780025,-74.1387718]
9	Greetings from Asbury Park NJ	1973	It's Hard to Be a Saint in the City	Bruce Springsteen	175	
10	The Wild, the Innocent, and the E Street Shuffle	1973	The E Street Shuffle	Bruce Springsteen	270	[40.262962,-74.271958],[42.3526253,-83.239632]
11	The Wild, the Innocent, and the E Street Shuffle	1973	4th of July, Asbury Park (Sandy)	Bruce Springsteen	336	[40.2221731,-74.0197447]
12	The Wild, the Innocent, and the E Street Shuffle	1973	Kitty's Back	Bruce Springsteen	429	[40.716164,-73.992055]
13	The Wild, the Innocent, and the E Street Shuffle	1973	Wild Billy's Circus Story	Bruce Springsteen	287	[40.3434976,-84.9179478],[41.4789169,-101.9295268]
14	The Wild, the Innocent, and the E Street Shuffle	1973	Incident on 57th Street	Bruce Springsteen	464	[40.7673199,-73.9864603]
15	The Wild, the Innocent, and the E Street Shuffle	1973	Rosalita (Come Out Tonight)	Bruce Springsteen	424	[34.1485195,-120.0337533],[32.8242389,-117.3898534]
